id	n	status	m	Kf	Ks	nnzAt	nvar	vec_len	t_build	t_dump	schur_GB	note
scale_stab_n24	24	ok	77760	25920	[264 480 264]	799941	395712	211320	31.5109	0.90436	45.1	
scale_stab_n32	32	ok	138240	46080	[352 640 352]	1422940	703488	375456	93.0907	1.554	142.4	
