stabpded_rd1	1e-6	0	0	0.0894036	132.894	132.983	33236	1.9e-07	3.1e-07	1.0e-06	-0.0e+00	-0.0e+00	804	804
wellposed_rd1	1e-4	0	0	0.0921616	0.236845	0.329007	44	8.7e-05	5.6e-05	9.1e-08	-0.0e+00	-0.0e+00	804	804
wellposed_rd1	1e-6	0	0	0.0874261	1.15341	1.24084	252	8.5e-07	9.9e-07	3.8e-09	-0.0e+00	-0.0e+00	804	804
h2ctrl_rd1	1e-6	124	1				159900							
h2ctrl_rd1	1e-6	124	1				160000							
h2est_rd1	1e-6	124	1				110200							
h2est_rd1	1e-6	124	1				110300							
h2o_rd1	1e-6	124	1				152200							
h2o_rd1	1e-6	124	1				152300							
h2oco_rd1	1e-6	124	1				401300							
h2oco_rd1	1e-6	124	1				401600							
hinf2_rd	1e-6	124	1				14500							
hinf2_rd	1e-6	124	1				14500							
hinf2du_rd	1e-6	124	1				14400							
hinf2du_rd	1e-6	124	1				14400							
hinf2nc_rd	1e-6	124	1				9600							
hinf2nc_rd	1e-6	124	1				9600							
hinf_rd1	1e-6	0	0	0.0771628	219.927	220.005	39122	1.0e-06	4.8e-07	7.6e-07	-0.0e+00	-0.0e+00	804	804
hinf_rd1	1e-6	0	0	0.0774545	219.66	219.737	39122	1.0e-06	4.8e-07	7.6e-07	-0.0e+00	-0.0e+00	804	804
hinfco_rd1	1e-6	124	1				159700							
hinfco_rd1	1e-6	124	1				159800							
hinfdu_rd1	1e-6	124	1				163000							
hinfdu_rd1	1e-6	124	1				163100							
hinfduco_rd1	1e-6	124	1				597400							
hinfduco_rd1	1e-6	124	1				597800							
nl_fisher_gamfix	1e-6	124	1				22900							
nl_fisher_gamfix	1e-6	124	1				22900							
nl_fisher_nobnd	1e-6	124	1				24800							
nl_fisher_nobnd	1e-6	124	1				24800							
nl_fisher_opt	1e-6	124	1				22400							
nl_fisher_opt	1e-6	124	1				22400							
