id	cls	dim	kind	status	m	Kf	nblk	Ks	nnzAt	nvar	vec_len	normb	c_nnz	t_wall	t_mosek	t_dump	rel_b	rel_dump	gam	gam_exact	feasratio	numerr	pinf	dinf	psd_min	psd_relmin	normx	trivial	psd_rel_bad	note
nl_fisher_opt	nonlinear	1D	obj	ok	5093	1	6	[5 50 50 40 456 380]	1.80334e+06	358962	179972	18.4632	1	88.3716	33.474	33.7053	5.108e-06	5.108e-06	NaN	NaN	1	0	0	0	3.31589e-09	7.94468e-12	687.445	0	7.94468e-12	
nl_fisher_gamfix	nonlinear	1D	feas	ok	5093	0	6	[5 50 50 40 456 380]	1.80334e+06	358961	179971	18.4632	0	77.0033	36.3938	35.2171	5.14548e-06	5.14548e-06	NaN	NaN	0.696908	0	0	0	6.78662e-09	1.07285e-11	1019.69	0	1.07285e-11	
nl_fisher_nobnd	nonlinear	1D	feas	ok	4978	0	4	[5 50 456 380]	1.79684e+06	354861	177876	18.415	0	77.72	39.0993	39.4919	3.43612e-05	3.43612e-05	NaN	NaN	0.921914	0	0	0	1.64727e-08	6.27199e-12	4637.55	0	6.27199e-12	
stab2_rd	stability	2D	feas	ok	3456	0	2	[8 424]	557492	179840	90136	1.47214e-05	0	23.0672	13.5773	13.4537	2.08158	2.08158	NaN	NaN	-1	2	0	0	5.56097e-13	3.00447e-11	0.0276935	0	3.00447e-11	
stab2dual_rd	stability	2D	feas	ok	3456	0	2	[8 424]	557492	179840	90136	1.47214e-05	0	24.9231	16.7117	16.1741	0.00843163	0.00843163	NaN	NaN	-1	2	0	0	5.51144e-13	2.65957e-11	0.0287916	0	2.65957e-11	
hinf2_rd	hinf	2D	obj	ok	14005	1	2	[8 869]	2.25462e+06	755226	378052	0.5	1	372.461	283.477	289.159	0.000136177	0.000136177	1.27221	0.1711	0.951089	2	0	0	8.26598e-09	3.69686e-13	31802.2	0	3.69686e-13	
hinf2nc_rd	hinf	2D	obj	ok	16949	42	2	[8 1229]	3.1345e+06	1.51055e+06	755913	0.5	1	778.322	573.845	561.75	0.00015363	0.00015363	3.93193	0.1711	-0.16806	2	0	0	1.45069e-08	1.37152e-12	25305.3	0	-6.80161e-08	
hinf2du_rd	hinf	2D	obj	ok	14006	1	2	[8 869]	2.25392e+06	755226	378052	1.41421	1	403.12	306.902	320.909	0.00483557	0.00517037	Inf	0.1711	-0.245043	2	0	0	1.94412e-06	7.30159e-13	5.6633e+06	0	7.30159e-13	
h2_2dc_rd	h2	2D	obj	ok	4127	1	3	[8 614 1]	781341	377062	188843	1	1	74.1896	46.2887	46.1624	1	1	1.10175	0.1711	-1	0	1	0	2.19019e-32	1.80434e-32	1.71664	1	1.80434e-32	
scale_stab_n02	scaling	1D	feas	ok	540	180	3	[22 40 22]	5414	2748	1506	1.33333e-06	0	3.06987	0.0372795	0.0343718	2.33438e-08	2.33438e-08	NaN	NaN	1.00475	0	0	0	4.46442e-16	1.82653e-11	5.03378e-05	0	-0.138878	
scale_stab_n04	scaling	1D	feas	ok	2160	720	3	[44 80 44]	21964	10992	5940	1.88562e-06	0	2.55303	0.200182	0.201119	3.87048e-08	3.87048e-08	NaN	NaN	0.902926	0	0	0	5.32305e-17	1.45109e-12	0.000102231	0	-0.0911146	
scale_stab_n08	scaling	1D	feas	ok	8640	2880	3	[88 160 88]	88472	43968	23592	2.66667e-06	0	6.77446	3.81627	3.90481	6.29157e-08	6.29157e-08	NaN	NaN	1.06699	0	0	0	2.36739e-16	2.84738e-12	0.000305924	0	-0.108726	
scale_stab_n16	scaling	1D	feas	ok	34560	11520	3	[176 320 176]	355104	175872	94032	3.77124e-06	0	146.376	117.795	114.669	5.83976e-08	5.83976e-08	NaN	NaN	0.810096	0	0	0	6.18447e-16	7.13144e-12	0.000467318	0	-0.13242	
