Loaded problem from /mnt/c/Users/mpeet/AppData/Local/Temp/claude/C--Users-mpeet-OneDrive-Documents-GitHub-PIETOOLS-PIETOOLS/a69ac9db-6cc4-4fd1-9dcb-b003878763dd/scratchpad/work/baseline/dumps/h2c_rd1/
              vector length: 809
      number of constraints: 272
           number of blocks: 9
  number of non-zeros in At: 2337
  number of non-zeros in  b: 2
  number of non-zeros in  C: 1

Analysis of the blk vector:
        1 u. block of size  44
        3 matrices of size    1 (small)
        1 matrices of size    7 (small)
        1 matrices of size   10 (small)
        1 matrices of size   12 (small)
        1 matrices of size   16 (small)
        1 matrices of size   30 (small)

 ||C|| = 2, ||b|| = 2

Problem parameters:
              solver max iter: 2000000
       KKT stopping tolerance: 0.0001
       sigma update threshold: 500
         sigma update stage 1: 50
         sigma update stage 2: 100
                  switch admm: 0
         switch proj max iter: 0
              switch proj tol: 0.01
                     sigscale: 2
                initial sigma: 100
    initial projection method: EIG_FP64
      final projection method: EIG_FP64
                   use LOBPCG: true
              LOBPCG max iter: 20
             LOBPCG tolerance: 1e-05
             LOBPCG warmstart: true
                 LOBPCG ratio: 0.03
            LOBPCG relaxation: 1.2
        LOBPCG rank threshold: 1e-05
           small matrix limit: 32
          medium matrix limit: 1000

 ------------------------------------------------------------------------------
                                   cuADMM
 ------------------------------------------------------------------------------
  it. | p infeas d infeas | primal obj.   dual obj. rel. gap |  time |   sigma 
 ------------------------------------------------------------------------------
 --------------- Starting with projection method EIG_FP64 ---------------------
    0 | 5.00e-01 5.00e-01 |  0.0000e+00  0.0000e+00 0.00e+00 |   0.1 | 1.0e+02 
   50 | 1.48e-01 2.02e-02 |  2.4214e-01  9.4845e-01 3.22e-01 |   0.6 | 3.1e+00 
  100 | 4.84e-02 3.51e-02 |  6.4043e-01  1.4930e+00 2.72e-01 |   1.0 | 1.6e+00 
  150 | 2.47e-02 1.47e-02 |  3.8861e-01  9.1156e-01 2.27e-01 |   1.4 | 3.1e+00 
  200 | 6.38e-03 9.76e-03 |  3.3124e-01  7.1168e-01 1.86e-01 |   1.9 | 1.6e+00 
  300 | 5.02e-03 5.40e-03 |  2.6990e-01  5.0274e-01 1.31e-01 |   2.8 | 1.6e+00 
  400 | 3.52e-03 3.94e-03 |  2.5143e-01  4.1151e-01 9.63e-02 |   3.7 | 7.8e-01 
  500 | 3.71e-03 2.86e-03 |  2.3844e-01  3.5975e-01 7.59e-02 |   4.5 | 7.8e-01 
  600 | 3.17e-03 6.85e-03 |  2.3552e-01  2.1399e-01 1.49e-02 |   5.4 | 2.0e-01 
  700 | 3.96e-03 3.42e-03 |  2.3556e-01  3.0961e-01 4.79e-02 |   6.3 | 7.8e-01 
  800 | 3.81e-03 2.81e-03 |  2.4440e-01  2.9198e-01 3.10e-02 |   7.2 | 7.8e-01 
  900 | 4.20e-03 2.81e-03 |  2.3335e-01  3.0883e-01 4.89e-02 |   8.1 | 7.8e-01 
 1000 | 4.48e-03 2.40e-03 |  2.4363e-01  2.9191e-01 3.14e-02 |   8.9 | 7.8e-01 
 1100 | 4.23e-03 2.25e-03 |  2.3236e-01  2.7175e-01 2.62e-02 |   9.8 | 7.8e-01 
 1200 | 9.34e-04 2.79e-03 |  2.3771e-01  3.3038e-01 5.91e-02 |  10.7 | 3.9e-01 
 1300 | 1.78e-03 1.60e-03 |  2.3786e-01  2.8627e-01 3.18e-02 |  11.6 | 1.6e+00 
 1400 | 1.47e-03 1.46e-03 |  2.3356e-01  2.7827e-01 2.96e-02 |  12.5 | 1.6e+00 
 1500 | 1.08e-03 1.27e-03 |  2.3230e-01  2.9057e-01 3.83e-02 |  13.3 | 1.6e+00 
 1600 | 9.11e-04 1.19e-03 |  2.3315e-01  2.8879e-01 3.66e-02 |  14.2 | 1.6e+00 
 1700 | 1.07e-03 1.09e-03 |  2.3162e-01  2.7270e-01 2.73e-02 |  15.1 | 1.6e+00 
 1800 | 9.93e-04 1.06e-03 |  2.2943e-01  2.6761e-01 2.55e-02 |  16.0 | 1.6e+00 
 1900 | 9.16e-04 9.90e-04 |  2.2826e-01  2.7858e-01 3.34e-02 |  16.9 | 1.6e+00 
 2000 | 8.04e-04 9.66e-04 |  2.2922e-01  2.7936e-01 3.32e-02 |  17.7 | 1.6e+00 
 2100 | 9.45e-04 9.18e-04 |  2.2831e-01  2.6467e-01 2.44e-02 |  18.6 | 1.6e+00 
 2200 | 8.67e-04 9.08e-04 |  2.2632e-01  2.6093e-01 2.33e-02 |  19.5 | 1.6e+00 
 2300 | 9.50e-04 8.66e-04 |  2.2532e-01  2.7292e-01 3.18e-02 |  20.4 | 1.6e+00 
 2400 | 8.42e-04 8.62e-04 |  2.2652e-01  2.7473e-01 3.21e-02 |  21.2 | 1.6e+00 
 2500 | 1.03e-03 8.25e-04 |  2.2603e-01  2.5859e-01 2.19e-02 |  22.1 | 1.6e+00 
 2600 | 9.38e-04 8.31e-04 |  2.2391e-01  2.5537e-01 2.13e-02 |  23.0 | 1.6e+00 
 2700 | 1.05e-03 7.92e-04 |  2.2304e-01  2.6942e-01 3.11e-02 |  23.9 | 1.6e+00 
 2800 | 8.76e-04 8.06e-04 |  2.2450e-01  2.7192e-01 3.17e-02 |  24.8 | 1.6e+00 
 2900 | 1.17e-03 7.66e-04 |  2.2429e-01  2.5387e-01 2.00e-02 |  25.6 | 1.6e+00 
 3000 | 6.28e-04 8.57e-04 |  2.2240e-01  2.4833e-01 1.76e-02 |  26.5 | 7.8e-01 
 3100 | 7.55e-04 8.19e-04 |  2.2202e-01  2.6783e-01 3.07e-02 |  27.4 | 7.8e-01 
 3200 | 7.20e-04 8.24e-04 |  2.2335e-01  2.7142e-01 3.22e-02 |  28.3 | 7.8e-01 
 3300 | 8.33e-04 8.28e-04 |  2.2321e-01  2.4833e-01 1.71e-02 |  29.2 | 7.8e-01 
 3400 | 8.94e-04 8.54e-04 |  2.2148e-01  2.4641e-01 1.70e-02 |  30.0 | 7.8e-01 
 3500 | 8.05e-04 8.92e-04 |  2.2147e-01  2.7002e-01 3.26e-02 |  30.9 | 7.8e-01 
 3600 | 8.19e-04 8.53e-04 |  2.2303e-01  2.7199e-01 3.28e-02 |  31.8 | 7.8e-01 
 3700 | 9.26e-04 8.63e-04 |  2.2286e-01  2.4526e-01 1.53e-02 |  32.7 | 7.8e-01 
 3800 | 1.01e-03 8.79e-04 |  2.2089e-01  2.4370e-01 1.56e-02 |  33.6 | 7.8e-01 
 3900 | 8.59e-04 9.48e-04 |  2.2094e-01  2.7046e-01 3.32e-02 |  34.4 | 7.8e-01 
 4000 | 9.15e-04 8.55e-04 |  2.2269e-01  2.7171e-01 3.28e-02 |  35.3 | 7.8e-01 
 4100 | 9.69e-04 9.03e-04 |  2.2247e-01  2.4286e-01 1.39e-02 |  36.2 | 7.8e-01 
 4200 | 1.08e-03 8.82e-04 |  2.2037e-01  2.4188e-01 1.47e-02 |  37.1 | 7.8e-01 
 4300 | 8.83e-04 9.74e-04 |  2.2047e-01  2.7030e-01 3.34e-02 |  38.0 | 7.8e-01 
 4400 | 9.66e-04 8.55e-04 |  2.2231e-01  2.7110e-01 3.27e-02 |  38.9 | 7.8e-01 
 4500 | 9.96e-04 9.21e-04 |  2.2207e-01  2.4112e-01 1.30e-02 |  39.7 | 7.8e-01 
 4600 | 1.11e-03 8.84e-04 |  2.1990e-01  2.4015e-01 1.39e-02 |  40.6 | 7.8e-01 
 4700 | 9.16e-04 9.88e-04 |  2.2002e-01  2.6992e-01 3.35e-02 |  41.5 | 7.8e-01 
 4800 | 1.01e-03 8.63e-04 |  2.2194e-01  2.7080e-01 3.27e-02 |  42.4 | 7.8e-01 
 4900 | 1.05e-03 9.33e-04 |  2.2170e-01  2.3951e-01 1.22e-02 |  43.3 | 7.8e-01 
 5000 | 1.15e-03 8.98e-04 |  2.1944e-01  2.3825e-01 1.29e-02 |  44.2 | 7.8e-01 
 5100 | 1.11e-03 6.73e-04 |  2.1931e-01  2.6029e-01 2.77e-02 |  45.1 | 1.6e+00 
 5200 | 5.32e-04 5.95e-04 |  2.2058e-01  2.5827e-01 2.55e-02 |  45.9 | 1.6e+00 
 5300 | 3.56e-04 5.83e-04 |  2.2019e-01  2.4924e-01 1.98e-02 |  46.8 | 7.8e-01 
 5400 | 3.26e-04 5.52e-04 |  2.1982e-01  2.5219e-01 2.20e-02 |  47.7 | 7.8e-01 
 5500 | 3.03e-04 5.37e-04 |  2.1976e-01  2.5351e-01 2.29e-02 |  48.6 | 1.6e+00 
 5600 | 2.74e-04 5.30e-04 |  2.1958e-01  2.5299e-01 2.27e-02 |  49.5 | 1.6e+00 
 5700 | 3.05e-04 5.13e-04 |  2.1921e-01  2.5173e-01 2.21e-02 |  50.4 | 3.1e+00 
 5800 | 2.74e-04 4.99e-04 |  2.1877e-01  2.5073e-01 2.17e-02 |  51.2 | 3.1e+00 
 5900 | 3.53e-04 4.73e-04 |  2.1798e-01  2.4963e-01 2.16e-02 |  52.1 | 6.2e+00 
pobj and dobj both descend, pobj < dobj, help dual!
 6000 | 1.68e-02 4.14e-04 |  2.1802e-01  2.4752e-01 2.01e-02 |  53.0 | 1.0e+02 
 6100 | 6.02e-02 2.26e-04 |  2.2651e-01  2.3113e-01 3.17e-03 |  53.9 | 2.0e+02 
 6200 | 2.96e-02 1.41e-04 |  2.1463e-01  2.1895e-01 3.01e-03 |  54.7 | 2.0e+02 
 6300 | 1.00e-02 1.11e-04 |  2.0534e-01  2.1445e-01 6.42e-03 |  55.6 | 1.0e+02 
 6400 | 7.01e-03 9.48e-05 |  2.0448e-01  2.1419e-01 6.84e-03 |  56.5 | 1.0e+02 
 6500 | 5.34e-03 8.94e-05 |  2.0338e-01  2.1309e-01 6.86e-03 |  57.4 | 5.0e+01 
 6600 | 4.59e-03 8.22e-05 |  2.0302e-01  2.1266e-01 6.81e-03 |  58.2 | 5.0e+01 
 6700 | 4.03e-03 8.11e-05 |  2.0304e-01  2.1166e-01 6.09e-03 |  59.1 | 2.5e+01 
 6800 | 3.61e-03 7.73e-05 |  2.0299e-01  2.1132e-01 5.89e-03 |  60.0 | 2.5e+01 
 6900 | 3.30e-03 8.41e-05 |  2.0307e-01  2.1028e-01 5.11e-03 |  60.9 | 1.2e+01 
 7000 | 2.95e-03 8.60e-05 |  2.0310e-01  2.0968e-01 4.66e-03 |  61.8 | 1.2e+01 
 7100 | 2.72e-03 1.11e-04 |  2.0319e-01  2.0813e-01 3.50e-03 |  62.7 | 6.2e+00 
 7200 | 2.38e-03 1.29e-04 |  2.0332e-01  2.0693e-01 2.56e-03 |  63.5 | 6.2e+00 
 7300 | 2.14e-03 1.98e-04 |  2.0355e-01  2.0442e-01 6.14e-04 |  64.4 | 3.1e+00 
 7400 | 1.80e-03 2.44e-04 |  2.0382e-01  2.0267e-01 8.17e-04 |  65.3 | 3.1e+00 
 7500 | 1.56e-03 3.61e-04 |  2.0417e-01  1.9945e-01 3.36e-03 |  66.2 | 1.6e+00 
 7600 | 1.23e-03 4.28e-04 |  2.0451e-01  1.9721e-01 5.21e-03 |  67.1 | 1.6e+00 
 7700 | 1.01e-03 5.85e-04 |  2.0486e-01  1.9327e-01 8.29e-03 |  68.0 | 7.8e-01 
 7800 | 7.58e-04 6.57e-04 |  2.0517e-01  1.9060e-01 1.04e-02 |  68.9 | 7.8e-01 
 7900 | 5.96e-04 8.40e-04 |  2.0544e-01  1.8676e-01 1.34e-02 |  69.8 | 3.9e-01 
 8000 | 4.37e-04 8.86e-04 |  2.0568e-01  1.8472e-01 1.51e-02 |  70.7 | 3.9e-01 
 8100 | 3.77e-04 7.83e-04 |  2.0593e-01  1.8688e-01 1.37e-02 |  71.6 | 7.8e-01 
 8200 | 4.26e-04 6.81e-04 |  2.0612e-01  1.9168e-01 1.03e-02 |  72.5 | 7.8e-01 
 8300 | 6.41e-04 5.45e-04 |  2.0634e-01  1.9541e-01 7.80e-03 |  73.4 | 1.6e+00 
 8400 | 6.68e-04 4.36e-04 |  2.0648e-01  1.9951e-01 4.95e-03 |  74.3 | 1.6e+00 
pobj and dobj both ascend, pobj > dobj, help dual!
 8500 | 1.61e-02 1.22e-04 |  2.0752e-01  2.0428e-01 2.29e-03 |  75.2 | 1.0e+02 
 8600 | 7.68e-03 7.63e-05 |  2.0818e-01  2.0713e-01 7.43e-04 |  76.1 | 1.0e+02 
 8700 | 6.43e-03 6.44e-05 |  2.0898e-01  2.0721e-01 1.25e-03 |  76.9 | 5.0e+01 
 8800 | 5.59e-03 5.38e-05 |  2.0836e-01  2.0703e-01 9.37e-04 |  77.8 | 5.0e+01 
