Loaded problem from /mnt/c/Users/mpeet/AppData/Local/Temp/claude/C--Users-mpeet-OneDrive-Documents-GitHub-PIETOOLS-PIETOOLS/a69ac9db-6cc4-4fd1-9dcb-b003878763dd/scratchpad/work/baseline/dumps/ctrl_rd1/
              vector length: 693
      number of constraints: 181
           number of blocks: 5
  number of non-zeros in At: 2293
  number of non-zeros in  b: 11
  number of non-zeros in  C: 1

Analysis of the blk vector:
        1 u. block of size   4
        1 matrices of size    1 (small)
        1 matrices of size   10 (small)
        1 matrices of size   14 (small)
        1 matrices of size   32 (small)

 ||C|| = 2, ||b|| = 2

Problem parameters:
              solver max iter: 2000000
       KKT stopping tolerance: 0.0001
       sigma update threshold: 500
         sigma update stage 1: 50
         sigma update stage 2: 100
                  switch admm: 0
         switch proj max iter: 0
              switch proj tol: 0.01
                     sigscale: 2
                initial sigma: 100
    initial projection method: EIG_FP64
      final projection method: EIG_FP64
                   use LOBPCG: true
              LOBPCG max iter: 20
             LOBPCG tolerance: 1e-05
             LOBPCG warmstart: true
                 LOBPCG ratio: 0.03
            LOBPCG relaxation: 1.2
        LOBPCG rank threshold: 1e-05
           small matrix limit: 32
          medium matrix limit: 1000

 ------------------------------------------------------------------------------
                                   cuADMM
 ------------------------------------------------------------------------------
  it. | p infeas d infeas | primal obj.   dual obj. rel. gap |  time |   sigma 
 ------------------------------------------------------------------------------
 --------------- Starting with projection method EIG_FP64 ---------------------
    0 | 5.00e-01 5.00e-01 |  0.0000e+00  0.0000e+00 0.00e+00 |   0.1 | 1.0e+02 
   50 | 2.10e-01 4.14e-03 |  1.0269e+00  2.1630e+00 2.71e-01 |   0.5 | 3.1e+00 
  100 | 8.18e-02 9.80e-02 |  3.1945e+00  8.9226e+00 4.37e-01 |   0.9 | 3.9e-01 
  150 | 5.63e-02 1.04e-01 |  4.3763e+00  1.2890e+01 4.66e-01 |   1.2 | 2.0e-01 
  200 | 4.37e-02 3.82e-02 |  5.6349e+00  1.3369e+01 3.87e-01 |   1.6 | 9.8e-02 
  300 | 3.34e-02 4.25e-02 |  8.2652e+00  1.9198e+01 3.84e-01 |   2.3 | 3.9e-01 
  400 | 2.75e-02 2.30e-02 |  9.0211e+00  1.9994e+01 3.66e-01 |   3.0 | 9.8e-02 
  500 | 2.58e-02 3.04e-02 |  1.0280e+01  2.3025e+01 3.72e-01 |   3.7 | 3.9e-01 
  600 | 2.28e-02 1.30e-02 |  1.0942e+01  2.3234e+01 3.49e-01 |   4.4 | 9.8e-02 
  700 | 2.20e-02 2.25e-02 |  1.1753e+01  2.5638e+01 3.62e-01 |   5.1 | 3.9e-01 
  800 | 2.02e-02 9.56e-03 |  1.2312e+01  2.5748e+01 3.44e-01 |   5.8 | 9.8e-02 
  900 | 1.97e-02 6.11e-02 |  1.2694e+01  3.2309e+01 4.26e-01 |   6.5 | 9.8e-02 
 1000 | 2.03e-02 3.10e-03 |  1.4696e+01  2.9200e+01 3.23e-01 |   7.1 | 7.8e-01 
 1100 | 1.71e-02 2.35e-03 |  1.4615e+01  2.9599e+01 3.31e-01 |   7.8 | 2.0e-01 
 1200 | 1.69e-02 2.56e-02 |  1.4725e+01  3.2877e+01 3.73e-01 |   8.5 | 4.9e-02 
 1300 | 1.64e-02 2.19e-02 |  1.5275e+01  3.3502e+01 3.66e-01 |   9.2 | 2.0e-01 
 1400 | 1.57e-02 8.40e-03 |  1.5871e+01  3.2959e+01 3.43e-01 |   9.8 | 2.0e-01 
 1500 | 1.56e-02 2.46e-02 |  1.6015e+01  3.5598e+01 3.72e-01 |  10.5 | 4.9e-02 
 1600 | 1.52e-02 2.05e-02 |  1.6529e+01  3.6045e+01 3.64e-01 |  11.2 | 2.0e-01 
 1700 | 1.46e-02 5.10e-03 |  1.7192e+01  3.5117e+01 3.36e-01 |  11.9 | 3.9e-01 
 1800 | 1.44e-02 8.99e-03 |  1.7309e+01  3.6053e+01 3.45e-01 |  12.6 | 9.8e-02 
 1900 | 1.43e-02 2.04e-02 |  1.7497e+01  3.8200e+01 3.65e-01 |  13.3 | 9.8e-02 
 2000 | 1.40e-02 9.50e-03 |  1.8131e+01  3.7651e+01 3.44e-01 |  14.0 | 3.9e-01 
 2100 | 1.36e-02 9.88e-03 |  1.8300e+01  3.8254e+01 3.47e-01 |  14.6 | 9.8e-02 
 2200 | 1.35e-02 1.92e-02 |  1.8482e+01  4.0149e+01 3.63e-01 |  15.3 | 9.8e-02 
 2300 | 1.33e-02 9.32e-03 |  1.9087e+01  3.9607e+01 3.44e-01 |  16.0 | 3.9e-01 
 2400 | 1.30e-02 9.14e-03 |  1.9250e+01  4.0108e+01 3.46e-01 |  16.7 | 9.8e-02 
 2500 | 1.29e-02 1.72e-02 |  1.9413e+01  4.1827e+01 3.60e-01 |  17.4 | 9.8e-02 
 2600 | 1.27e-02 8.77e-03 |  1.9966e+01  4.1345e+01 3.43e-01 |  18.2 | 3.9e-01 
 2700 | 1.24e-02 8.41e-03 |  2.0120e+01  4.1786e+01 3.44e-01 |  18.9 | 9.8e-02 
 2800 | 1.23e-02 1.99e-02 |  2.0222e+01  4.4062e+01 3.65e-01 |  19.6 | 4.9e-02 
 2900 | 1.22e-02 1.64e-02 |  2.0624e+01  4.4223e+01 3.58e-01 |  20.3 | 2.0e-01 
 3000 | 1.18e-02 7.03e-03 |  2.1119e+01  4.3569e+01 3.42e-01 |  21.0 | 2.0e-01 
 3100 | 1.18e-02 1.35e-02 |  2.1215e+01  4.5028e+01 3.54e-01 |  21.7 | 4.9e-02 
 3200 | 1.16e-02 1.23e-02 |  2.1505e+01  4.5340e+01 3.51e-01 |  22.4 | 2.0e-01 
 3300 | 1.14e-02 5.79e-03 |  2.1887e+01  4.4916e+01 3.40e-01 |  23.1 | 2.0e-01 
 3400 | 1.14e-02 1.19e-02 |  2.1968e+01  4.6296e+01 3.51e-01 |  23.8 | 4.9e-02 
 3500 | 1.13e-02 2.55e-02 |  2.2083e+01  4.9216e+01 3.75e-01 |  24.5 | 4.9e-02 
 3600 | 1.11e-02 1.98e-02 |  2.2574e+01  4.9042e+01 3.64e-01 |  25.2 | 2.0e-01 
 3700 | 1.24e-02 5.46e-03 |  2.3557e+01  4.7678e+01 3.34e-01 |  25.9 | 7.8e-01 
 3800 | 1.06e-02 3.54e-04 |  2.3601e+01  4.7317e+01 3.30e-01 |  26.6 | 2.0e-01 
 3900 | 1.06e-02 6.34e-03 |  2.3626e+01  4.8626e+01 3.41e-01 |  27.3 | 4.9e-02 
 4000 | 1.05e-02 1.79e-02 |  2.3703e+01  5.1209e+01 3.62e-01 |  28.0 | 4.9e-02 
 4100 | 1.04e-02 1.48e-02 |  2.4059e+01  5.1223e+01 3.56e-01 |  28.7 | 2.0e-01 
 4200 | 1.13e-02 4.71e-03 |  2.4832e+01  5.0221e+01 3.34e-01 |  29.4 | 7.8e-01 
 4300 | 1.00e-02 4.94e-04 |  2.4882e+01  4.9911e+01 3.30e-01 |  30.1 | 2.0e-01 
 4400 | 1.00e-02 5.58e-03 |  2.4906e+01  5.1087e+01 3.40e-01 |  30.8 | 4.9e-02 
 4500 | 1.00e-02 2.69e-02 |  2.4940e+01  5.5896e+01 3.78e-01 |  31.5 | 1.2e-02 
 4600 | 9.95e-03 3.48e-02 |  2.5114e+01  5.8018e+01 3.91e-01 |  32.2 | 4.9e-02 
 4700 | 9.84e-03 2.61e-02 |  2.5763e+01  5.7341e+01 3.75e-01 |  32.9 | 2.0e-01 
 4800 | 1.31e-02 8.81e-03 |  2.7142e+01  5.5405e+01 3.38e-01 |  33.6 | 7.8e-01 
 4900 | 9.14e-03 2.49e-03 |  2.7347e+01  5.4114e+01 3.25e-01 |  34.3 | 3.9e-01 
 5000 | 9.15e-03 6.73e-05 |  2.7313e+01  5.4679e+01 3.30e-01 |  35.0 | 9.8e-02 
 5100 | 9.14e-03 5.36e-03 |  2.7333e+01  5.6004e+01 3.40e-01 |  35.7 | 4.9e-02 
 5200 | 9.12e-03 1.00e-02 |  2.7388e+01  5.7257e+01 3.49e-01 |  36.5 | 4.9e-02 
 5300 | 9.10e-03 2.02e-02 |  2.7442e+01  5.9846e+01 3.67e-01 |  37.2 | 2.4e-02 
 5400 | 9.07e-03 2.96e-02 |  2.7531e+01  6.2356e+01 3.83e-01 |  37.9 | 2.4e-02 
pobj and dobj both ascend, pobj < dobj, help primal!
 5500 | 9.00e-03 3.12e-02 |  2.7747e+01  6.3231e+01 3.86e-01 |  38.6 | 1.0e-02 
 5600 | 8.98e-03 5.61e-02 |  2.7811e+01  6.9532e+01 4.24e-01 |  39.3 | 1.0e-02 
 5700 | 8.93e-03 6.55e-02 |  2.7988e+01  7.2328e+01 4.38e-01 |  40.0 | 2.0e-02 
 5800 | 8.86e-03 7.39e-02 |  2.8191e+01  7.4961e+01 4.49e-01 |  40.7 | 2.0e-02 
 5900 | 8.73e-03 7.15e-02 |  2.8613e+01  7.5436e+01 4.46e-01 |  41.4 | 4.0e-02 
pobj and dobj both ascend, pobj < dobj, help primal!
 6000 | 8.61e-03 6.90e-02 |  2.9021e+01  7.5867e+01 4.42e-01 |  42.1 | 1.0e-02 
 6100 | 8.55e-03 7.60e-02 |  2.9232e+01  7.8260e+01 4.52e-01 |  42.9 | 2.0e-02 
 6200 | 8.48e-03 8.23e-02 |  2.9462e+01  8.0537e+01 4.60e-01 |  43.6 | 2.0e-02 
 6300 | 8.35e-03 7.84e-02 |  2.9928e+01  8.0735e+01 4.55e-01 |  44.3 | 4.0e-02 
 6400 | 8.23e-03 7.46e-02 |  3.0373e+01  8.0916e+01 4.50e-01 |  45.0 | 4.0e-02 
 6500 | 8.05e-03 6.26e-02 |  3.1168e+01  7.9599e+01 4.33e-01 |  45.7 | 8.0e-02 
 6600 | 7.87e-03 5.27e-02 |  3.1836e+01  7.8533e+01 4.19e-01 |  46.4 | 8.0e-02 
 6700 | 7.79e-03 3.75e-02 |  3.2883e+01  7.6504e+01 3.95e-01 |  47.1 | 1.6e-01 
 6800 | 7.52e-03 2.65e-02 |  3.3618e+01  7.5029e+01 3.78e-01 |  47.9 | 1.6e-01 
 6900 | 7.73e-03 1.47e-02 |  3.4581e+01  7.3307e+01 3.56e-01 |  48.6 | 3.2e-01 
 7000 | 7.25e-03 7.20e-03 |  3.5067e+01  7.2216e+01 3.43e-01 |  49.3 | 3.2e-01 
 7100 | 7.40e-03 2.42e-03 |  3.5520e+01  7.1499e+01 3.33e-01 |  49.9 | 6.4e-01 
 7200 | 7.04e-03 4.31e-05 |  3.5601e+01  7.1142e+01 3.30e-01 |  50.6 | 6.4e-01 
 7300 | 7.02e-03 3.29e-05 |  3.5593e+01  7.1205e+01 3.30e-01 |  51.3 | 3.2e-01 
 7400 | 7.02e-03 3.07e-04 |  3.5600e+01  7.1320e+01 3.31e-01 |  52.0 | 3.2e-01 
 7500 | 7.02e-03 8.96e-04 |  3.5614e+01  7.1536e+01 3.32e-01 |  52.7 | 1.6e-01 
 7600 | 7.01e-03 1.35e-03 |  3.5641e+01  7.1731e+01 3.33e-01 |  53.4 | 1.6e-01 
 7700 | 7.01e-03 2.58e-03 |  3.5664e+01  7.2170e+01 3.35e-01 |  54.1 | 8.0e-02 
pobj and dobj both ascend, pobj < dobj, help primal!
 7800 | 7.00e-03 6.44e-03 |  3.5692e+01  7.3458e+01 3.43e-01 |  54.9 | 1.0e-02 
 7900 | 7.00e-03 3.08e-02 |  3.5706e+01  8.1227e+01 3.86e-01 |  55.6 | 5.0e-03 
 8000 | 6.99e-03 5.50e-02 |  3.5737e+01  8.8981e+01 4.24e-01 |  56.3 | 5.0e-03 
 8100 | 6.98e-03 6.60e-02 |  3.5825e+01  9.2701e+01 4.39e-01 |  57.0 | 1.0e-02 
 8200 | 6.96e-03 7.64e-02 |  3.5928e+01  9.6309e+01 4.53e-01 |  57.8 | 1.0e-02 
pobj and dobj both ascend, pobj < dobj, help primal!
 8300 | 6.92e-03 8.07e-02 |  3.6125e+01  9.8202e+01 4.59e-01 |  58.5 | 1.0e-02 
 8400 | 6.89e-03 9.04e-02 |  3.6250e+01  1.0167e+02 4.71e-01 |  59.2 | 1.0e-02 
 8500 | 6.84e-03 9.18e-02 |  3.6514e+01  1.0285e+02 4.73e-01 |  59.9 | 2.0e-02 
 8600 | 6.79e-03 9.28e-02 |  3.6782e+01  1.0395e+02 4.74e-01 |  60.6 | 2.0e-02 
 8700 | 6.71e-03 8.70e-02 |  3.7303e+01  1.0346e+02 4.67e-01 |  61.4 | 4.0e-02 
